x1 x2 x3 x4 L
-92 252 850 921 1
-631 152 -193 48 0
-302 -708 -645 -163 0
-866 -997 250 -111 0
-320 -556 441 308 0
-164 -974 -264 -752 0
-635 971 225 461 1
-803 -71 671 -363 0
-394 -928 -754 -148 0
159 731 -787 499 1
644 347 -898 876 1
-673 -405 247 -744 0
669 371 131 -74 1
993 543 173 500 1
416 707 582 -1000 1
384 -309 574 113 1
98 -501 -262 -365 0
-657 120 -149 -718 0
-282 -968 139 -546 0
889 -572 -173 849 1
-310 -827 769 156 0
465 -907 371 425 1
-581 730 -596 -59 0
209 -25 -625 700 1
897 -298 540 -503 1
522 229 438 389 1
879 -262 -581 -415 0
242 975 562 398 1
46 -540 -281 378 0
626 75 -2 838 1
744 597 468 -185 1
-896 -360 418 995 0
933 -673 -394 542 1
709 269 438 551 1
-831 -834 333 -61 0
-406 415 244 -167 1
705 -166 138 -140 1
-666 -259 243 270 0
-900 -585 -779 202 0
532 -826 -395 650 0
697 -220 760 769 1
-152 90 480 11 1
-875 162 -376 -270 0
179 -304 144 -679 0
-552 -291 880 314 1
999 -997 -300 262 1
701 195 747 -144 1
606 684 -98 820 1
-373 -98 -166 -396 0
638 -131 403 733 1
133 353 -900 -306 0
-155 941 531 -329 1
617 59 -763 267 1
-750 -608 -234 305 0
-979 -571 253 -600 0
177 6 143 701 1
919 409 413 734 1
-604 370 -414 19 0
-50 102 -170 608 1
-801 837 157 583 1
-301 194 -549 -862 0
-246 337 499 369 1
-613 149 -282 874 0
221 722 924 41 1
-291 -553 -650 -336 0
667 -675 -576 -836 0
594 201 463 -336 1
-327 938 889 -538 1
-247 159 973 -253 1
-954 520 12 -361 0
-71 -663 181 548 0
654 838 -114 -712 1
826 -885 623 -364 1
-591 198 -502 899 0
588 -378 600 356 1
910 -415 -854 -228 0
799 -357 72 100 1
-707 -884 517 584 0
-891 -821 -439 95 0
882 457 309 -485 1
-926 620 -510 345 0
911 556 232 66 1
522 -972 434 -145 0
204 -696 986 638 1
-223 282 396 -124 1
769 -143 404 -115 1
-388 -910 92 -383 0
546 -988 640 -775 0
-579 -833 -72 402 0
313 -78 -901 241 0
-694 -656 234 812 0
-266 692 608 298 1
433 -80 575 258 1
659 -716 688 682 1
731 -828 747 -699 1
-178 -1000 -862 -293 0
926 755 891 -559 1
990 -85 186 -950 1
-758 -130 -980 -317 0
-370 -872 508 -635 0
-895 730 -775 676 0
807 142 -455 -849 1
932 925 62 793 1
-734 30 917 286 1
-386 958 -669 394 1
365 406 -630 -310 1
843 282 356 -331 1
545 -373 -32 -611 0
-372 -819 -765 -807 0
835 -409 86 -668 1
-441 -412 685 -880 0
810 -655 -475 -778 0
628 -764 -895 237 0
542 -388 584 576 1
-78 182 413 -857 0
-41 509 61 595 1
649 -905 -648 -504 0
-792 -712 -938 -606 0
-604 629 856 437 1
-654 -850 -597 -611 0
-196 -405 -873 508 0
797 372 -540 178 1
777 107 932 159 1
204 -408 -587 24 0
751 -281 866 788 1
667 -427 -677 168 0
904 481 620 -884 1
-259 791 -176 342 1
-48 -440 169 909 1
977 545 -508 214 1
-921 -258 230 -583 0
924 -88 -772 863 1
342 815 883 -634 1
-993 -491 -210 890 0
-842 782 616 179 1
583 -505 -374 -477 0
870 -202 -910 -710 0
-434 873 -325 95 1
-123 851 -376 -579 0
92 -563 37 -899 0
-213 899 288 -136 1
745 221 -620 -900 0
409 -235 181 -99 1
-770 -496 960 -338 0
54 -745 -469 796 0
-340 -126 -414 -877 0
475 238 -684 -259 1
274 629 -319 576 1
-812 233 -309 320 0
-941 -510 502 -459 0
-775 630 262 701 1
-618 -784 296 -133 0
191 693 -492 89 1
815 224 408 111 1
829 391 -553 -590 1
-271 369 158 -784 0
527 -537 125 321 1
937 904 67 134 1
477 -626 -85 -249 0
814 389 931 -477 1
-71 927 -881 -718 0
-440 223 -761 -306 0
-392 -644 874 -401 0
429 534 -486 288 1
290 -739 318 -66 0
-388 -551 653 -429 0
700 -99 -739 -962 0
699 -912 969 743 1
364 -630 289 156 1
-55 48 630 410 1
875 923 613 291 1
-603 -516 -919 178 0
990 711 634 557 1
940 706 914 -559 1
169 -387 268 -531 0
-817 636 220 -889 0
250 -221 -903 -762 0
-597 904 35 -7 1
561 121 375 -699 1
-226 -399 880 -507 0
-450 -949 40 943 0
754 -229 882 -570 1
658 437 -230 -355 1
401 991 -217 -154 1
443 -820 383 910 1
-737 -309 382 -239 0
-53 949 -305 -375 1
-605 -549 741 914 1
335 624 -493 276 1
-496 860 141 -629 0
494 209 -651 -386 0
-93 742 618 260 1
-997 -835 415 821 0
102 803 -31 -477 1
-216 84 -365 -897 0
727 -301 -871 938 1
717 308 -552 -147 1
752 609 -96 419 1
-524 -627 971 -151 0
-561 39 -869 130 0
-528 -787 308 850 0
749 614 -121 -167 1
-156 291 305 383 1
803 -142 -251 442 1
921 22 -344 281 1
-472 -455 57 196 0
510 -192 -672 -795 0
130 -405 -246 440 0
-81 -676 439 -338 0
88 765 311 -921 1
-917 -217 -181 529 0
420 -315 34 524 1
641 -152 94 -979 1
758 731 360 344 1
153 842 -136 -637 1
19 -534 -662 -303 0
430 807 -89 564 1
351 307 -784 -687 0
-174 -784 996 -731 0
938 -922 998 812 1
607 719 324 -765 1
269 115 -956 807 1
623 995 613 -490 1
437 631 -890 746 1
668 -460 729 -951 1
-55 -657 593 744 1
65 498 776 218 1
-57 -727 44 -322 0
344 670 -764 -338 1
-921 -926 186 704 0
-322 14 685 826 1
-627 184 -574 407 0
324 -389 833 -239 1
-129 947 787 -696 1
407 674 348 297 1
-229 637 630 -529 1
-715 -386 659 182 0
227 -550 501 340 1
-353 -309 -756 -415 0
495 984 -599 704 1
-757 -467 630 946 0
167 -248 809 -734 1
681 -869 -1 609 1
-203 219 -545 -536 0
-774 668 -555 882 0
124 -866 -968 105 0
655 -626 781 -707 1
-369 307 75 614 1
979 622 631 -992 1
336 -203 -332 442 1
-814 919 918 500 1
-889 680 992 595 1
-753 4 31 -92 0
312 748 -253 -925 1
245 64 24 -788 0
133 -396 229 189 1
-569 -427 -897 970 0
-420 -506 -28 721 0
-113 156 -383 -452 0
-664 -534 -835 -266 0
-627 518 315 968 1
664 585 209 -735 1
-950 -263 200 -476 0
734 660 -501 956 1
123 -642 60 310 0
650 171 446 -572 1
-965 -218 -971 971 0
-940 16 361 -165 0
821 -845 155 57 1
781 -565 910 435 1
252 -944 -723 -321 0
770 354 -459 -759 1
-75 -43 594 816 1
-886 296 -552 892 0
-365 -987 -231 787 0
-742 858 -853 -500 0
786 484 694 575 1
493 613 -55 306 1
-629 164 265 -40 0
-743 444 802 898 1
-712 534 308 -302 0
-294 -268 89 229 0
-661 -441 -407 -580 0
223 333 734 -351 1
551 -214 181 -307 1
-44 -446 -534 -358 0
-203 -599 -965 -112 0
299 936 559 676 1
-645 -123 720 730 1
-212 155 -919 -60 0
-962 66 -30 -451 0
-638 -448 903 819 1
668 459 -594 -323 1
-197 -458 799 -16 1
624 -761 935 -606 1
171 -155 848 938 1
479 -940 -976 -840 0
388 319 -116 128 1
406 -633 -884 -984 0
-52 -782 -792 -186 0
248 -394 876 815 1
679 -828 -405 143 0
591 378 435 -699 1
-6 361 751 435 1
613 -568 -138 413 1
-623 -769 -263 -119 0
-6 820 268 89 1
-932 -275 -544 788 0
-630 -71 398 507 0
584 123 605 985 1
635 -929 -487 -871 0
-801 689 124 -411 0
644 202 435 -904 1
579 811 -646 325 1
-900 -664 -888 258 0
-111 -61 475 -480 0
-789 -58 -424 -628 0
940 120 506 -125 1
-611 -659 -720 26 0
-491 21 479 132 0
-797 -757 820 -626 0
-137 -935 -536 -630 0
-790 422 557 135 1
903 -803 -199 642 1
154 -461 -256 -625 0
171 935 -161 -203 1
443 -263 -696 -55 0
-152 -816 -681 496 0
466 -99 843 274 1
-427 130 -533 297 0
-955 -8 598 46 0
249 638 673 -227 1
356 597 -830 -241 1
-600 339 -727 220 0
340 689 166 -123 1
853 -819 -919 565 0
-802 -972 738 669 0
-516 -516 -660 975 0
-502 -822 622 -819 0
802 579 -45 438 1
851 166 456 -368 1
405 80 -551 896 1
927 -35 -857 -369 1
1 -692 -712 111 0
998 -70 565 -949 1
497 -563 -228 216 0
915 -846 492 -611 1
-622 -144 -727 988 0
-688 -840 265 -663 0
608 -927 -260 439 0
-650 353 -636 200 0
-261 440 294 -427 1
367 -584 -688 -588 0
-829 121 -822 -186 0
-892 864 -579 -368 0
-998 -215 -857 -293 0
365 520 -246 117 1
893 144 -338 234 1
543 -177 -823 50 0
-240 -356 133 -911 0
50 724 -757 647 1
619 -410 -342 145 1
-392 -653 -196 382 0
428 407 516 -613 1
682 -795 -949 -439 0
567 -519 682 -732 1
-377 -769 -134 863 0
630 -187 744 -935 1
-912 -728 -699 -617 0
-781 -835 -566 -592 0
968 228 28 8 1
-53 198 64 934 1
265 -606 435 358 1
-130 421 540 -274 1
295 53 -26 194 1
689 227 -521 243 1
-466 134 -189 492 0
719 -235 154 689 1
661 -880 664 375 1
-816 134 734 -22 0
-402 -810 791 582 0
-237 113 -283 676 1
-682 -707 -841 -113 0
948 -685 528 -661 1
832 384 401 625 1
821 -204 76 322 1
-350 748 297 -360 1
703 -962 506 -807 0
584 -786 69 146 1
-311 558 -769 534 0
372 345 365 858 1
568 -566 350 -386 1
-69 -516 -849 -878 0
-918 126 -911 -250 0
-921 137 -845 877 0
537 -735 -885 873 0
-605 88 -753 859 0
529 213 -946 316 1
-532 150 -981 7 0
733 -276 -363 726 1
220 193 -792 -344 0
-815 669 -904 -722 0
155 416 -170 884 1
193 866 -898 628 1
119 -892 -93 -70 0
-909 841 -417 447 0
-130 -113 82 29 0
97 880 -860 -256 1
249 851 -282 551 1
28 942 716 -934 1
863 389 -672 285 1
-449 -665 871 833 1
-15 -338 -527 241 0
-85 854 -203 801 1
419 -107 -901 562 0
-129 279 746 608 1
-745 665 891 -374 1
-759 710 335 546 1
738 304 -489 375 1
67 -13 677 -26 1
-945 -995 -593 -958 0
639 73 381 -130 1
611 909 -48 451 1
-848 361 557 170 0
-937 369 565 317 0
-55 192 -503 -638 0
247 -897 291 -688 0
471 -858 312 -807 0
145 -627 -167 -964 0
786 -975 996 -928 1
-950 -476 -80 -853 0
731 -606 -481 -52 0
116 550 -544 -954 0
251 -965 -791 175 0
-939 653 205 -476 0
453 543 -494 455 1
-890 -321 886 683 0
258 901 -54 601 1
-61 -406 486 113 1
-899 -624 -816 -416 0
-310 -966 -14 -477 0
-380 163 -640 -580 0
918 201 996 247 1
994 840 -414 163 1
-395 570 -286 484 1
-247 319 -632 546 0
-230 401 7 -925 0
966 75 -500 961 1
115 667 -728 343 1
-168 805 830 -740 1
-485 -85 -407 168 0
-618 -161 -336 291 0
-850 596 243 -358 0
-96 96 753 -706 1
588 761 -656 343 1
-83 -484 -585 -245 0
-797 -323 799 686 0
660 322 -813 -265 1
-690 993 907 459 1
-406 815 107 817 1
849 221 -655 -699 1
391 624 971 339 1
964 178 656 -371 1
-61 -367 -584 822 0
678 351 -904 725 1
-487 526 -569 404 0
-635 142 195 -526 0
39 860 226 -915 1
703 -894 515 630 1
494 -744 617 210 1
36 243 -189 -50 1
-619 -569 -210 -201 0
-628 58 834 348 1
914 -170 828 875 1
-828 -279 -760 391 0
-802 -738 456 417 0
564 -923 720 -607 0
-531 858 -479 134 0
16 188 -716 524 0
88 -30 -108 165 1
259 538 -579 -33 1
111 758 539 -889 1
-152 779 -406 -182 1
981 -510 -22 -972 0
827 -691 818 393 1
383 578 838 -803 1
-460 -873 -829 107 0
-938 -158 226 -351 0
243 -261 -157 -136 0
-834 -969 779 942 0
406 883 849 45 1
761 853 516 833 1
-629 -125 -645 193 0
-750 687 277 -256 0
844 -721 146 864 1
577 261 -172 -185 1
679 60 985 -394 1
-190 790 -488 -98 1
-267 91 -713 -203 0
-984 987 -718 286 0
-767 509 -733 361 0
-177 -107 323 -677 0
-468 -525 -489 -369 0
500 -730 -730 -920 0
507 -553 -627 766 1
-957 179 382 751 0
-84 19 -465 314 0
312 -167 302 -211 1
-559 -420 837 0 0
959 -208 -658 -727 0
972 498 672 -227 1
249 -658 -750 618 0
802 -426 565 -861 1
-842 -673 594 -10 0
-958 -673 -335 -508 0
-178 142 -661 -975 0
-827 401 -510 155 0
-116 -20 -149 -751 0
-451 -839 -556 -124 0
753 543 -44 -835 1
620 18 -646 -728 0
709 512 191 569 1
889 857 -799 -913 1
348 -720 30 889 1
394 -233 596 240 1
-939 12 211 527 0
657 -542 -203 263 1
16 -972 176 411 0
-534 685 286 -916 0
301 655 307 -78 1
-552 -634 -613 845 0
-195 -993 400 360 0
483 -349 -614 334 0
541 -215 786 917 1
614 925 -154 105 1
257 -890 -380 54 0
890 795 -872 885 1
-700 -316 260 919 0
-373 -43 -746 24 0
809 -587 627 -70 1
10 11 252 211 1
45 -937 758 528 1
637 -343 62 743 1
-103 -857 1 -274 0
773 553 260 973 1
430 485 -374 199 1
730 -733 929 -502 1
-192 974 -53 -953 1
-228 930 521 -746 1
-354 398 452 352 1
416 -800 -508 765 0
-982 26 -803 245 0
-495 253 636 -638 0
-843 179 -343 -558 0
-605 329 352 -656 0
539 648 -989 849 1
458 679 977 -869 1
910 -4 980 959 1
534 -843 -51 -933 0
592 -797 399 103 1
-699 -398 -921 249 0
35 527 -867 -74 0
210 604 -685 -456 0
829 195 -363 340 1
-443 -715 -750 179 0
767 -205 53 -874 1
-928 99 -903 230 0
574 291 482 782 1
881 -968 714 64 1
222 -714 686 147 1
611 315 -532 -36 1
599 -228 -311 -116 1
181 727 -171 -397 1
647 235 -640 -910 0
562 -415 970 -777 1
886 809 735 848 1
11 -197 -799 756 0
839 -952 -625 -33 0
-371 -421 659 735 1
-682 -32 -707 29 0
633 -945 500 454 1
-962 -439 -736 658 0
217 346 86 -984 0
213 -806 291 -585 0
418 -980 124 806 1
656 -948 -545 693 0
925 294 650 -250 1
-25 -181 56 -593 0
785 -141 -226 737 1
-880 89 99 -145 0
-492 734 -192 724 1
60 -92 -69 -938 0
477 854 -558 -412 1
554 -616 25 748 1
-283 626 136 131 1
173 614 293 0 1
91 897 -599 -739 0
-974 -297 435 773 0
961 -475 -187 456 1
-432 -942 41 238 0
-137 -15 -780 229 0
-609 -718 -727 -292 0
579 -569 758 -875 1
372 529 864 722 1
819 -994 -97 -307 0
911 528 -974 659 1
-285 829 117 -567 1
556 -523 -113 -560 0
981 -561 -268 -849 0
-303 673 -360 638 1
-597 -545 74 -450 0
-37 788 438 573 1
976 918 -355 -941 1
498 -555 823 -34 1
-655 227 681 55 1
-329 -916 -910 63 0
-243 -822 610 -706 0
-420 -621 -449 -873 0
231 -987 187 -514 0
915 419 -641 -669 1
846 444 106 -797 1
-309 -838 978 -920 0
-460 -607 893 -992 0
-855 776 -764 244 0
689 374 147 -899 1
723 403 17 83 1
210 298 -476 -103 1
307 -478 987 981 1
-216 307 -364 798 1
-488 -993 -335 -933 0
851 784 -628 -489 1
-580 -572 749 -375 0
782 -489 224 -377 1
190 962 -7 700 1
-932 -909 -219 677 0
-63 -672 -354 374 0
164 -390 923 -768 1
552 -739 576 463 1
-75 717 -722 -643 0
-465 -749 914 -68 0
771 -813 58 -34 1
-610 -656 612 41 0
631 584 829 24 1
482 -375 -124 28 1
631 -44 663 -478 1
-203 -135 897 264 1
549 -725 -959 228 0
452 -949 131 -856 0
528 -246 957 550 1
-324 138 156 -697 0
920 841 -67 -746 1
-541 -188 605 -640 0
-506 808 296 802 1
541 -81 -57 603 1
190 8 -726 -906 0
488 823 -574 -953 1
301 -7 79 354 1
-892 55 -405 90 0
-853 183 906 -213 0
-193 959 -427 -391 1
964 -756 772 -562 1
758 146 -513 -810 1
-796 -88 -920 -490 0
158 476 -187 -20 1
-494 694 -412 915 1
-307 441 -398 426 1
158 -368 154 178 1
-762 -719 -475 983 0
-269 -426 81 -707 0
-59 429 -893 -496 0
-163 17 841 49 1
-732 588 -162 -57 0
-235 -927 -94 -416 0
-526 168 375 886 1
-234 253 -706 200 0
724 -482 8 -34 1
-369 -487 -633 215 0
217 661 301 -186 1
792 750 188 690 1
684 -660 255 570 1
-759 -122 85 950 0
-333 -260 609 352 1
588 620 -81 -682 1
-952 467 323 962 1
-347 -496 -633 17 0
-223 179 626 -3 1
570 862 449 61 1
-994 338 -403 27 0
-925 770 291 -587 0
-922 -277 306 -637 0
-233 -920 187 588 0
-87 616 -606 212 1
-31 -901 -79 663 0
178 -437 -665 -717 0
-868 382 749 -897 0
-759 -563 815 4 0
387 -381 558 372 1
67 30 -91 229 1
-855 448 -363 -522 0
476 810 -248 154 1
-973 -608 771 231 0
587 -785 967 -169 1
182 -475 -140 -58 0
934 778 198 197 1
633 -740 -116 -350 0
396 -937 -726 508 0
-800 -881 -686 737 0
-250 421 548 -331 1
-410 -640 -923 673 0
966 -300 -412 253 1
693 133 -925 516 1
905 944 851 992 1
-345 -562 -328 -508 0
278 744 10 -629 1
644 138 393 -989 1
-729 305 -211 -850 0
-12 -238 883 -892 0
-544 -141 -524 -257 0
-381 -897 -901 -586 0
780 961 782 -607 1
-114 -180 323 -151 0
970 424 88 818 1
-865 462 -150 978 0
355 -687 722 -28 1
-731 -32 -768 810 0
169 194 324 250 1
739 -145 -162 -794 1
582 590 714 -957 1
-423 -26 -643 -738 0
-879 199 196 -223 0
-485 417 -877 780 0
-493 58 502 -487 0
318 -794 -138 458 0
-859 878 -954 -5 0
-145 -195 885 773 1
-254 370 -918 -482 0
610 451 -487 481 1
-526 -824 -153 425 0
299 -746 171 -167 0
435 764 -69 -735 1
-255 -987 -563 350 0
-16 -222 -879 323 0
637 413 -832 268 1
-217 38 -531 -1000 0
315 633 422 798 1
-400 526 27 348 1
125 512 -137 947 1
-374 -421 826 -575 0
-219 919 137 -599 1
-638 -320 517 -30 0
-194 578 -677 307 0
980 -345 -246 954 1
508 -254 639 714 1
-956 -660 -436 945 0
739 -828 -919 -355 0
619 -289 -745 860 1
631 373 -894 -246 1
627 184 515 -63 1
234 -587 933 388 1
-351 -946 -96 49 0
-839 -471 -503 -569 0
552 585 86 -161 1
886 -24 110 -493 1
-835 289 966 -348 0
112 405 397 -594 1
208 614 -443 825 1
-298 -484 -163 -363 0
100 -319 -604 792 0
733 -850 769 377 1
-311 651 857 -606 1
-802 -878 -984 -289 0
-589 318 -893 108 0
449 -278 -373 -546 0
-66 698 -887 -286 0
791 -641 832 -960 1
947 -906 188 -902 0
-429 -399 947 -304 0
151 -46 311 -184 1
3 -874 -613 -680 0
573 -497 703 36 1
-148 483 -668 656 1
-630 -57 -687 -851 0
900 -476 -343 -577 0
951 647 693 -561 1
-551 317 -488 -209 0
-91 -864 -532 -947 0
-790 -664 805 -608 0
414 -589 189 -581 0
576 690 -650 -28 1
465 -699 872 338 1
175 -234 266 -254 1
-32 14 -536 269 0
-107 554 -30 935 1
-514 917 -144 775 1
-168 411 -84 7 1
199 -554 -647 48 0
-278 832 -863 352 0
223 500 -703 811 1
-274 347 998 151 1
655 858 751 -765 1
48 620 699 914 1
454 -456 -198 578 1
-140 -963 -772 -150 0
79 898 -453 -645 1
89 -651 684 253 1
-645 -186 378 -909 0
-938 -938 -503 -749 0
-410 -126 -842 371 0
-949 -484 732 -98 0
769 833 283 -321 1
-508 124 -589 677 0
-700 -744 866 -267 0
-154 152 280 -904 0
908 803 -971 413 1
-931 -303 310 -214 0
-382 -984 911 361 0
227 -991 929 -270 0
100 728 255 948 1
782 -155 -145 -46 1
-367 456 435 899 1
-847 -889 612 560 0
797 58 -924 211 1
579 -25 -173 301 1
508 521 -490 -636 1
548 -120 122 -355 1
812 660 -329 890 1
-721 555 -403 -185 0
798 -932 225 560 1
-57 952 994 -270 1
-525 296 762 174 1
149 52 -716 -375 0
998 -131 -399 157 1
602 443 -285 -53 1
-411 -304 503 502 1
285 -971 -909 973 0
-551 341 -512 178 0
308 -1 -577 633 1
-895 -313 -891 952 0
-623 -740 462 -616 0
-733 -821 -389 -36 0
818 551 -503 -268 1
-126 -88 -116 94 0
-240 -905 26 -492 0
297 266 857 -840 1
-775 446 -420 886 0
284 19 -665 151 0
-723 913 395 126 1
802 -728 -998 838 0
-299 -826 134 -712 0
-769 943 725 -615 1
316 881 -736 583 1
-141 24 -837 50 0
214 903 -52 686 1
-329 665 885 -741 1
-741 378 140 -836 0
-574 -634 44 257 0
-867 -272 23 107 0
-306 -259 283 875 1
175 72 -138 -330 0
241 927 962 -348 1
540 -760 -77 -796 0
647 -286 788 -573 1
717 -762 674 -245 1
-957 798 -289 -488 0
-437 -326 -136 47 0
472 735 950 -214 1
-200 -998 702 292 0
600 -106 -236 96 1
795 421 -106 -869 1
254 -546 670 -596 0
-174 -998 -19 -825 0
535 716 594 -890 1
618 -746 616 -687 1
707 313 514 -931 1
245 103 113 -507 1
13 304 -644 -300 0
-111 -168 469 101 1
548 -290 137 -439 1
-869 -72 139 713 0
763 -603 -925 41 0
-932 495 -697 -670 0
-578 -372 269 -130 0
-568 572 501 -207 1
-453 479 -40 856 1
32 -37 -226 125 0
20 415 -53 485 1
-918 -624 553 795 0
150 288 -953 579 1
725 795 -700 -925 1
-695 74 162 195 0
-281 -13 126 -426 0
507 -662 789 342 1
397 -581 -659 -76 0
-45 -775 113 -542 0
537 -494 429 -79 1
674 -368 449 37 1
715 346 -790 236 1
671 -192 -688 -659 0
-963 454 235 498 0
719 414 536 416 1
20 -275 403 -761 0
-323 -37 -314 -256 0
-575 -140 87 81 0
15 636 -449 -295 1
459 -299 -635 733 1
-46 883 -649 -64 1
-927 -307 912 -481 0
-645 -57 -291 -319 0
-204 270 -110 -147 0
-221 -485 -726 955 0
-954 -639 169 135 0
-845 78 -377 -287 0
-597 -801 607 893 0
451 -60 646 710 1
-326 -327 -926 -625 0
-163 -524 838 -72 0
-789 447 -586 247 0
903 199 921 952 1
-106 128 -631 -297 0
143 325 -817 134 0
910 344 -131 493 1
686 435 -995 901 1
59 -123 827 660 1
-384 219 180 627 1
787 -863 -701 667 0
-893 931 971 494 1
-382 770 -868 693 1
-684 -572 -998 -10 0
93 583 228 681 1
-921 -304 577 -80 0
-275 640 539 724 1
838 -632 183 -546 1
843 -903 199 291 1
895 342 672 -810 1
155 -49 -893 846 0
-257 -831 334 -719 0
901 -610 -929 768 1
-41 373 -234 989 1
574 987 287 -630 1
963 -81 240 -203 1
331 937 720 323 1
-71 -184 -282 -126 0
-574 744 -761 153 0
386 -435 472 -245 1
407 80 167 -664 1
-800 -639 684 725 0
-809 -178 451 -591 0
-872 -877 -695 -577 0
-614 222 -101 822 0
-219 812 -116 355 1
291 -355 904 -344 1
-539 214 416 -973 0
-98 -636 782 -446 0
-356 0 769 -601 0
980 408 191 573 1
-482 779 -395 -174 0
903 945 612 -936 1
-42 972 -950 -823 0
436 18 -33 -551 1
644 776 74 -609 1
818 704 -683 -312 1
-506 174 -218 -681 0
503 877 -436 -609 1
60 488 734 258 1
-596 -450 -612 -856 0
762 135 208 -749 1
-121 -218 7 -257 0
151 -985 496 -346 0
930 -242 284 -404 1
129 -256 -436 739 1
276 845 501 -165 1
-756 836 242 404 1
-781 794 -812 -934 0
-491 -465 -251 -972 0
-751 -179 -86 903 0
979 601 92 60 1
873 48 -271 899 1
356 -710 365 -176 0
599 993 316 899 1
-575 -738 -87 -713 0
-494 650 -761 4 0
542 -822 -216 822 1
820 151 -541 -840 1
894 -527 -450 -715 0
282 619 -668 938 1
88 -575 174 -471 0
-318 -996 -868 426 0
-291 -986 -990 -694 0
-11 -277 -198 -997 0
32 -14 618 604 1
-353 -638 373 59 0
743 70 197 -549 1
-430 -357 -802 90 0
-3 -336 719 -557 0
699 283 607 947 1
10 -166 534 -632 0
-417 34 -891 215 0
403 -888 401 -995 0
524 320 -564 963 1
473 -98 820 -611 1
-768 610 -353 821 0
-132 -662 -953 -556 0
-681 -365 -550 -703 0
565 120 585 -300 1
-180 -463 572 -341 0
888 269 -397 178 1
592 336 820 965 1
-17 -534 285 -39 0
-403 314 -103 -395 0
773 -730 -766 566 0
929 -562 819 -609 1
996 373 700 -834 1
-908 649 621 -785 0
445 940 -219 -891 1
704 458 513 -690 1
150 473 -160 -942 0
